FIPS,Median household income - Household Income_2012,Median household income - Household Income_2013,Median household income - Household Income_2014
47085,38300.0,43987.0,42056.0
47087,31093.0,31903.0,32013.0
47089,37279.0,38174.0,39970.0
47091,29219.0,30897.0,30020.0
47093,44074.0,45149.0,46325.0
47095,27142.0,26587.0,26445.0
47097,32741.0,31770.0,31672.0
47099,34637.0,33963.0,36536.0
47101,33495.0,31877.0,35062.0
47103,41022.0,39246.0,42178.0
47105,47206.0,50375.0,49616.0
47107,38183.0,37319.0,37502.0
47109,33139.0,33738.0,33110.0
47111,33036.0,34262.0,35341.0
47113,40670.0,39510.0,42488.0
47115,37672.0,40136.0,39170.0
47117,40052.0,40214.0,41455.0
47119,45445.0,42569.0,43346.0
47121,36584.0,37129.0,36361.0
47123,35833.0,32720.0,37850.0
47125,47258.0,47684.0,48267.0
47127,45066.0,48229.0,47091.0
47129,35322.0,35266.0,36170.0
47131,38530.0,38429.0,38718.0
47133,33230.0,32308.0,33220.0
